frame,numero_pers,joint,x,y,confience
0,0,0,350.764,362.622,0.913381
0,0,1,321.356,433.108,0.914551
0,0,2,259.463,441.967,0.806676
0,0,3,244.715,524.286,0.8615929999999999
0,0,4,241.791,574.468,0.868197
0,0,5,388.933,415.554,0.906557
0,0,6,450.765,492.005,0.7948400000000001
0,0,7,483.11,477.213,0.8436659999999999
0,0,8,362.514,621.46,0.840939
0,0,9,318.396,624.383,0.812259
0,0,10,318.484,753.988,0.8280409999999999
0,0,11,338.97,886.436,0.8494959999999999
0,0,12,406.576,618.516,0.740931
0,0,13,400.809,742.148,0.832181
0,0,14,400.726,856.921,0.845943
0,0,15,338.875,350.802,0.899154
0,0,16,362.366,347.824,0.8857029999999999
0,0,17,297.772,362.506,0.9157989999999999
0,0,18,0,0,0
0,0,19,459.747,874.619,0.819584
0,0,20,456.787,860.01,0.8191959999999999
0,0,21,386.127,868.787,0.856236
0,0,22,386.067,924.573,0.8407209999999999
0,0,23,365.471,927.581,0.823835
0,0,24,335.994,903.997,0.778478
0,1,0,1637.11,315.403,0.949187
0,1,1,1707.46,391.988,0.8910739999999999
0,1,2,1672.23,394.895,0.800238
0,1,3,1663.44,500.904,0.647849
0,1,4,1613.46,530.346,0.8278449999999999
0,1,5,1742.87,391.938,0.812624
0,1,6,1766.49,509.802,0.835367
0,1,7,1657.66,554.005,0.8529589999999999
0,1,8,1681.2,594.953,0.748981
0,1,9,1651.66,592.128,0.719916
0,1,10,1639.88,721.567,0.7262109999999999
0,1,11,1639.89,857.029,0.8374659999999999
0,1,12,1710.61,592.111,0.6677379999999999
0,1,13,1707.59,742.277,0.781573
0,1,14,1725.15,924.662,0.7723500000000001
0,1,15,1639.87,297.818,0.502571
0,1,16,1657.63,297.766,0.934079
0,1,17,0,0,0
0,1,18,1707.52,309.589,0.9032429999999999
0,1,19,1654.59,948.182,0.811078
0,1,20,1672.27,954.013,0.8197129999999999
0,1,21,1734.16,936.527,0.754023
0,1,22,1569.33,859.995,0.796211
0,1,23,1581.07,856.959,0.764771
0,1,24,1657.51,880.404,0.8240029999999999
1,0,0,353.673,362.617,0.910565
1,0,1,321.325,433.117,0.9187259999999999
1,0,2,259.461,442.034,0.799964
1,0,3,244.808,524.375,0.8807389999999999
1,0,4,241.787,574.51,0.8738349999999999
1,0,5,388.917,415.525,0.907593
1,0,6,436.078,500.793,0.8798309999999999
1,0,7,474.341,477.268,0.837928
1,0,8,362.514,621.485,0.84125
1,0,9,318.395,624.43,0.8089489999999999
1,0,10,318.466,756.843,0.825654
1,0,11,338.985,886.43,0.850592
1,0,12,406.571,618.511,0.739582
1,0,13,400.806,742.159,0.828399
1,0,14,397.9,856.97,0.845648
1,0,15,338.916,350.807,0.902399
1,0,16,362.412,347.782,0.897863
1,0,17,297.792,362.52,0.9123009999999999
1,0,18,0,0,0
1,0,19,459.801,874.673,0.823345
1,0,20,459.55,860.049,0.803916
1,0,21,386.125,871.666,0.842293
1,0,22,386.073,924.573,0.8434459999999999
1,0,23,365.483,927.575,0.823838
1,0,24,336.014,903.986,0.7766639999999999
1,1,0,1637.09,315.4,0.9497129999999999
1,1,1,1704.77,391.979,0.892076
1,1,2,1672.22,394.872,0.798693
1,1,3,1663.44,500.886,0.64534
1,1,4,1613.42,530.326,0.836299
