frame,numero_pers,joint,x,y,tracking
5,1,20,1672.27,951.287,1
5,1,21,1734.17,936.475,1
5,1,22,1569.29,860.034,1
5,1,23,1581.01,856.98,1
5,1,24,1657.52,877.622,1
6,0,0,359.563,362.555,0
6,0,1,318.466,433.147,0
6,0,2,256.561,442.042,0
6,0,3,244.903,533.215,0
6,0,4,271.248,565.552,0
6,0,5,385.998,418.403,0
6,0,6,436.148,500.873,0
6,0,7,377.255,506.752,0
6,0,8,362.487,618.524,0
6,0,9,318.401,621.498,0
6,0,10,318.505,751.018,0
6,0,11,338.993,886.456,0
6,0,12,403.724,609.791,0
6,0,13,400.75,742.082,0
6,0,14,400.77,856.947,0
6,0,15,341.858,347.819,0
6,0,16,362.654,347.762,0
6,0,17,300.781,362.384,0
6,0,18,0,0,0
6,0,19,459.789,874.576,0
6,0,20,456.799,859.988,0
6,0,21,386.175,871.673,0
6,0,22,386.067,921.783,0
6,0,23,365.49,927.575,0
6,0,24,336.024,904.034,0
6,1,0,1639.87,315.358,1
6,1,1,1704.76,391.948,1
6,1,2,1669.37,391.985,1
6,1,3,1660.45,497.861,1
6,1,4,1610.55,530.203,1
6,1,5,1742.86,391.997,1
6,1,6,1763.55,509.769,1
6,1,7,1657.59,553.967,1
6,1,8,1681.05,594.971,1
6,1,9,1645.78,592.098,1
6,1,10,1637.04,724.541,1
6,1,11,1639.89,857.011,1
6,1,12,1710.48,595.013,1
6,1,13,1707.61,745.167,1
6,1,14,1725.16,924.629,1
6,1,15,1639.94,294.994,1
6,1,16,1660.36,297.709,1
6,1,17,0,0,1
6,1,18,1707.56,312.43,1
6,1,19,1654.59,948.165,1
6,1,20,1672.26,951.285,1
6,1,21,1734.16,936.465,1
6,1,22,1569.29,860.03,1
6,1,23,1581.01,856.978,1
6,1,24,1657.51,877.642,1
7,0,0,359.615,362.576,0
7,0,1,318.467,433.134,0
7,0,2,256.564,442.012,0
7,0,3,247.736,533.266,0
7,0,4,288.912,556.773,0
7,0,5,385.967,418.44,0
7,0,6,438.989,500.797,0
7,0,7,365.396,518.513,0
7,0,8,362.524,621.544,0
7,0,9,318.451,624.527,0
7,0,10,318.519,753.959,0
7,0,11,338.992,886.447,0
7,0,12,403.761,618.515,0
7,0,13,397.89,742.158,0
7,0,14,400.766,856.96,0
7,0,15,341.91,347.837,0
7,0,16,365.357,347.765,0
7,0,17,303.619,362.37,0
7,0,18,0,0,0
7,0,19,459.781,871.738,0
7,0,20,456.794,859.975,0
7,0,21,386.167,871.685,0
7,0,22,386.084,921.774,0
7,0,23,365.504,927.565,0
7,0,24,336.018,904.018,0
7,1,0,1639.89,315.311,1
7,1,1,1704.74,391.912,1
7,1,2,1669.35,391.964,1
7,1,3,1660.45,494.934,1
7,1,4,1610.56,530.165,1
7,1,5,1739.98,391.942,1
7,1,6,1766.4,509.755,1
7,1,7,1657.51,553.982,1
7,1,8,1681.04,594.989,1
7,1,9,1645.74,592.105,1
7,1,10,1637.01,724.518,1
7,1,11,1639.89,856.992,1
7,1,12,1710.48,595.04,1
7,1,13,1707.62,745.187,1
7,1,14,1725.16,924.653,1
7,1,15,1639.95,294.959,1
7,1,16,1660.39,294.97,1
7,1,17,0,0,1
7,1,18,1707.54,312.44,1
7,1,19,1654.59,948.153,1
7,1,20,1672.25,951.277,1
7,1,21,1734.15,936.494,1
7,1,22,1569.32,860.018,1
7,1,23,1581.04,856.962,1
7,1,24,1657.51,877.6,1
8,0,0,362.407,362.585,0
8,0,1,318.472,433.169,0
8,0,2,256.53,442.023,0
8,0,3,247.847,544.995,0
8,0,4,294.927,553.773,0
8,0,5,385.974,418.508,0
8,0,6,439.107,500.854,0
8,0,7,368.451,524.39,0
8,0,8,362.476,621.52,0
8,0,9,318.421,624.531,0
8,0,10,318.526,753.981,0
8,0,11,338.991,886.451,0
8,0,12,403.657,615.605,0
8,0,13,397.867,742.142,0
8,0,14,400.763,856.946,0
8,0,15,342.032,347.827,0
8,0,16,365.408,347.813,0
8,0,17,303.697,359.609,0
8,0,18,0,0,0
8,0,19,459.755,871.693,0
8,0,20,456.756,859.955,0
8,0,21,386.18,871.651,0
8,0,22,386.051,924.572,0
8,0,23,365.455,927.587,0
8,0,24,336.031,904.016,0
8,1,0,1639.93,315.271,1
8,1,1,1704.74,391.915,1
8,1,2,1669.33,391.978,1
8,1,3,1657.61,489.152,1
8,1,4,1610.51,530.164,1
8,1,5,1739.99,391.936,1
8,1,6,1763.57,509.775,1
8,1,7,1657.45,553.991,1
8,1,8,1681.01,595.009,1
8,1,9,1642.9,592.111,1
8,1,10,1636.99,724.529,1
8,1,11,1639.89,857.02,1
8,1,12,1707.71,595.081,1
8,1,13,1707.62,745.195,1
8,1,14,1725.16,924.68,1
8,1,15,1640,294.928,1
